Species	Voucher	Gene	Reason
Ophiocordyceps tiputini	Ophsp.11465	RPB1	no voucher match
Ophiocordyceps tiputini	Ophsp.11465	RPB2	no voucher match
Ophiocordyceps tiputini	Ophtip11465	ITS	no voucher match
Ophiocordyceps tiputini	Ophtip11465	SSU	no voucher match
Ophiocordyceps tiputini	Ophtip11465	RPB2	no voucher match
Ophiocordyceps tricentri	CEM160	ITS	no voucher match
Ophiocordyceps tricentri	CEM160	TEF	no voucher match
Ophiocordyceps tricentri	CEM160	RPB1	no voucher match
Ophiocordyceps tricentri	CEM160	RPB2	no voucher match
Ophiocordyceps tricentri	HKAS 126048	SSU	no voucher match
Ophiocordyceps tricentri	HKAS 126048	LSU	no voucher match
Ophiocordyceps tricentri	HKAS 126048	TEF	no voucher match
Ophiocordyceps tricentri	HKAS 126048	RPB1	no voucher match
Ophiocordyceps tricentri	HKAS 126048	RPB2	no voucher match
Ophiocordyceps tricentri	KUMCC 5198	ITS	no voucher match
Ophiocordyceps tricentri	KUMCC 5198	SSU	no voucher match
Ophiocordyceps tricentri	KUMCC 5198	LSU	no voucher match
Ophiocordyceps tricentri	KUMCC 5198	RPB1	no voucher match
Ophiocordyceps tricentri	KUMCC 5198	RPB2	no voucher match
Ophiocordyceps tricentri	NBRC:106968	RPB1	no voucher match
Ophiocordyceps unilateralis	OSC 128574	ITS	no voucher match
Ophiocordyceps variabilis	ARSEF 5365	ITS	no voucher match
Ophiocordyceps variabilis	OMDL iNat # 225208540	SSU	no voucher match
Ophiocordyceps variabilis	OMDL iNat # 225208540	LSU	no voucher match
Ophiocordyceps variabilis	OMDL iNat # 225208540	TEF	no voucher match
Ophiocordyceps variabilis	OMDL iNat # 225208540	RPB1	no voucher match
Ophiocordyceps variabilis	OMDL iNat # 225208540	RPB2	no voucher match
Ophiocordyceps vespulae	GZUCC2017064	ITS	no voucher match
Ophiocordyceps vespulae	GZUCC2017064	SSU	no voucher match
Ophiocordyceps vespulae	GZUCC2017064	RPB1	no voucher match
Ophiocordyceps vespulae	HKAS:102449	ITS	no voucher match
Ophiocordyceps vespulae	HKAS:102449	SSU	no voucher match
Ophiocordyceps vespulae	HKAS:102449	LSU	no voucher match
Ophiocordyceps vespulae	HKAS:102449	TEF	no voucher match
Ophiocordyceps vespulae	HKAS:102449	RPB2	no voucher match
Ophiocordyceps vespulae	KA25-1007	LSU	no voucher match
Ophiocordyceps vespulae	KA25-1007	TEF	no voucher match
Ophiocordyceps vespulae	KA25-1007	RPB1	no voucher match
Ophiocordyceps vespulae	KA25-1007	RPB2	no voucher match
Ophiocordyceps xuefengensis	GZUHHN13	RPB2	no voucher match
Ophiocordyceps xuefengensis	YFCC 16049246	ITS	no voucher match
Ophiocordyceps xuefengensis	YFCC 16049246	SSU	no voucher match
Ophiocordyceps xuefengensis	YFCC 16049246	LSU	no voucher match
Ophiocordyceps xuefengensis	YFCC 16049246	TEF	no voucher match
Ophiocordyceps xuefengensis	YFCC 16049246	RPB1	no voucher match
Ophiocordyceps yakusimensis	HMAS_199604	ITS	no voucher match
Ophiocordyceps yakusimensis	HMAS_199604	TEF	no voucher match
Ophiocordyceps yakusimensis	synonym_Cordyceps_yakusimensis	SSU	no voucher match
Ophiocordyceps yakusimensis	synonym_Cordyceps_yakusimensis	LSU	no voucher match
Ophiocordyceps yakusimensis	synonym_Cordyceps_yakusimensis	TEF	no voucher match
Ophiocordyceps yakusimensis	synonym_Cordyceps_yakusimensis	RPB1	no voucher match
Ophiocordyceps yakusimensis	synonym_Cordyceps_yakusimensis	RPB2	no voucher match
Tolypocladium capitatum	ARSEF 1446	ITS	no voucher match
Tolypocladium capitatum	ARSEF 1446	SSU	no voucher match
Tolypocladium capitatum	ARSEF 1446	TEF	no voucher match
Tolypocladium capitatum	ARSEF 1446	RPB1	no voucher match
Tolypocladium capitatum	ARSEF 1446	RPB2	no voucher match
Tolypocladium capitatum	OSC71233	ITS	no voucher match
Tolypocladium capitatum	OSC71233	LSU	no voucher match
Tolypocladium capitatum	OSC71233	RPB2	no voucher match
Tolypocladium capitatum	YFCC 881	ITS	no voucher match
Tolypocladium capitatum	YFCC 881	SSU	no voucher match
Tolypocladium capitatum	YFCC 881	LSU	no voucher match
Tolypocladium capitatum	YFCC 881	TEF	no voucher match
Tolypocladium capitatum	YFCC 881	RPB1	no voucher match
Tolypocladium inflatum	CBS 127147	ITS	no voucher match
Tolypocladium inflatum	CBS 127147	SSU	no voucher match
Tolypocladium inflatum	CBS 127147	TEF	no voucher match
Tolypocladium inflatum	CBS 127147	RPB1	no voucher match
Tolypocladium inflatum	CBS 127147	RPB2	no voucher match
Tolypocladium inflatum	CBS 127302	LSU	no voucher match
Tolypocladium inflatum	CBS 127302	TEF	no voucher match
Tolypocladium inflatum	CBS 127302	RPB1	no voucher match
Tolypocladium inflatum	CBS 127302	RPB2	no voucher match
Tolypocladium inflatum	KUMCC 7769	ITS	no voucher match
Tolypocladium inflatum	KUMCC 7769	SSU	no voucher match
Tolypocladium inflatum	KUMCC 7769	LSU	no voucher match
Tolypocladium inflatum	KUMCC 7769	RPB1	no voucher match
Tolypocladium inflatum	KUMCC 7769	RPB2	no voucher match
Tolypocladium inflatum	MTCC 557	ITS	no voucher match
Tolypocladium inflatum	MTCC 557	SSU	no voucher match
Tolypocladium inflatum	MTCC 557	LSU	no voucher match
Tolypocladium inflatum	MTCC 557	TEF	no voucher match
Tolypocladium inflatum	MTCC 557	RPB2	no voucher match
Tolypocladium inflatum	OSC 71235	ITS	no voucher match
Tolypocladium inflatum	OSC 71235	SSU	no voucher match
Tolypocladium inflatum	OSC 71235	LSU	no voucher match
Tolypocladium inflatum	OSC 71235	TEF	no voucher match
Tolypocladium inflatum	OSC 71235	RPB1	no voucher match
Tolypocladium ophioglossoides	CBS 100239	ITS	no voucher match
Tolypocladium ophioglossoides	CBS 139.63	SSU	no voucher match
Tolypocladium ophioglossoides	CBS 139.63	LSU	no voucher match
Tolypocladium ophioglossoides	CBS 139.63	TEF	no voucher match
Tolypocladium ophioglossoides	CBS 139.63	RPB1	no voucher match
Tolypocladium ophioglossoides	CBS 139.63	RPB2	no voucher match
Tolypocladium ophioglossoides	iNAT:178438965	ITS	no voucher match
Tolypocladium ophioglossoides	iNAT:178438965	TEF	no voucher match
Tolypocladium ophioglossoides	iNAT:178438965	RPB1	no voucher match
Tolypocladium ophioglossoides	iNAT:178438965	RPB2	no voucher match
Tolypocladium ophioglossoides	NBRC:106330	ITS	no voucher match
Tolypocladium ophioglossoides	NBRC:106330	SSU	no voucher match
Tolypocladium ophioglossoides	NBRC:106330	LSU	no voucher match
Tolypocladium ophioglossoides	NBRC:106330	RPB1	no voucher match
