Species	Voucher	Gene	Reason
Ophiocordyceps brunneipunctata	HKAS149958	RPB2	no voucher match
Ophiocordyceps brunneipunctata	OSC 128576	ITS	no voucher match
Ophiocordyceps buquetii	BCC 93053	SSU	no voucher match
Ophiocordyceps buquetii	BCC 93053	LSU	no voucher match
Ophiocordyceps buquetii	BCC 93053	TEF	no voucher match
Ophiocordyceps buquetii	BCC 93053	RPB1	no voucher match
Ophiocordyceps buquetii	BCC 93053	RPB2	no voucher match
Ophiocordyceps buquetii	HMAS_199613	ITS	no voucher match
Ophiocordyceps buquetii	HMAS_199613	RPB2	no voucher match
Ophiocordyceps buquetii	HMAS_199617	ITS	no voucher match
Ophiocordyceps buquetii	HMAS_199617	RPB2	no voucher match
Ophiocordyceps calliphoridarum	GMB 3129	RPB1	no voucher match
Ophiocordyceps calliphoridarum	GMB 3131	SSU	no voucher match
Ophiocordyceps calliphoridarum	GMB 3131	LSU	no voucher match
Ophiocordyceps calliphoridarum	GMB 3131	TEF	no voucher match
Ophiocordyceps calliphoridarum	GMB 3131	RPB1	no voucher match
Ophiocordyceps calliphoridarum	GMB 3131	RPB2	no voucher match
Ophiocordyceps camponoti	ATRI3	ITS	no voucher match
Ophiocordyceps camponoti	ATRI3	RPB1	no voucher match
Ophiocordyceps camponoti	ATRI3	RPB2	no voucher match
Ophiocordyceps camponoti	C36	ITS	no voucher match
Ophiocordyceps camponoti	C36	LSU	no voucher match
Ophiocordyceps camponoti	C36	TEF	no voucher match
Ophiocordyceps camponoti	C36	RPB1	no voucher match
Ophiocordyceps camponoti	C36	RPB2	no voucher match
Ophiocordyceps camponoti	C40	ITS	no voucher match
Ophiocordyceps camponoti	C40	LSU	no voucher match
Ophiocordyceps camponoti	C40	TEF	no voucher match
Ophiocordyceps camponoti	C40	RPB1	no voucher match
Ophiocordyceps camponoti	C40	RPB2	no voucher match
Ophiocordyceps camponoti	Co24	ITS	no voucher match
Ophiocordyceps camponoti	Co24	SSU	no voucher match
Ophiocordyceps camponoti	Co24	LSU	no voucher match
Ophiocordyceps camponoti	Co24	RPB1	no voucher match
Ophiocordyceps camponoti	Co24	RPB2	no voucher match
Ophiocordyceps camponoti	Co25	ITS	no voucher match
Ophiocordyceps camponoti	Co25	SSU	no voucher match
Ophiocordyceps camponoti	Co25	LSU	no voucher match
Ophiocordyceps camponoti	Co25	RPB1	no voucher match
Ophiocordyceps camponoti	Co25	RPB2	no voucher match
Ophiocordyceps camponoti	FEMO2	ITS	no voucher match
Ophiocordyceps camponoti	FEMO2	RPB2	no voucher match
Ophiocordyceps camponoti	Flo4	ITS	no voucher match
Ophiocordyceps camponoti	Flo4	TEF	no voucher match
Ophiocordyceps camponoti	Flo4	RPB1	no voucher match
Ophiocordyceps camponoti	Flo4	RPB2	no voucher match
Ophiocordyceps camponoti	Flx2	ITS	no voucher match
Ophiocordyceps camponoti	Flx2	SSU	no voucher match
Ophiocordyceps camponoti	Flx2	LSU	no voucher match
Ophiocordyceps camponoti	Flx2	RPB1	no voucher match
Ophiocordyceps camponoti	Flx2	RPB2	no voucher match
Ophiocordyceps camponoti	G108	ITS	no voucher match
Ophiocordyceps camponoti	G108	RPB2	no voucher match
Ophiocordyceps camponoti	G143	ITS	no voucher match
Ophiocordyceps camponoti	G143	RPB2	no voucher match
Ophiocordyceps camponoti	HIPPOC	ITS	no voucher match
Ophiocordyceps camponoti	HIPPOC	RPB2	no voucher match
Ophiocordyceps camponoti	INDI2	ITS	no voucher match
Ophiocordyceps camponoti	INDI2	TEF	no voucher match
Ophiocordyceps camponoti	INDI2	RPB1	no voucher match
Ophiocordyceps camponoti	INDI2	RPB2	no voucher match
Ophiocordyceps camponoti	INPA 280294	ITS	no voucher match
Ophiocordyceps camponoti	INPA 280294	SSU	no voucher match
Ophiocordyceps camponoti	INPA 280294	LSU	no voucher match
Ophiocordyceps camponoti	INPA 280294	TEF	no voucher match
Ophiocordyceps camponoti	INPA 280294	RPB1	no voucher match
Ophiocordyceps camponoti	MFLU:22-0269	SSU	no voucher match
Ophiocordyceps camponoti	MFLU:22-0269	LSU	no voucher match
Ophiocordyceps camponoti	MFLU:22-0269	TEF	no voucher match
Ophiocordyceps camponoti	MFLU:22-0269	RPB1	no voucher match
Ophiocordyceps camponoti	MFLU:22-0269	RPB2	no voucher match
Ophiocordyceps camponoti	NIDUL2	ITS	no voucher match
Ophiocordyceps camponoti	NIDUL2	RPB2	no voucher match
Ophiocordyceps camponoti	OBIS5	ITS	no voucher match
Ophiocordyceps camponoti	OBIS5	RPB2	no voucher match
Ophiocordyceps camponoti	ORENG	ITS	no voucher match
Ophiocordyceps camponoti	ORENG	RPB1	no voucher match
Ophiocordyceps camponoti	ORENG	RPB2	no voucher match
Ophiocordyceps camponoti	YFCC 9028	ITS	no voucher match
Ophiocordyceps camponoti	YFCC 9028	SSU	no voucher match
Ophiocordyceps camponoti	YFCC 9028	TEF	no voucher match
Ophiocordyceps clavata	CEM1762	ITS	no voucher match
Ophiocordyceps clavata	CEM1762	RPB2	no voucher match
Ophiocordyceps clavata	MY12912	ITS	no voucher match
Ophiocordyceps clavata	MY12912	SSU	no voucher match
Ophiocordyceps clavata	MY12912	LSU	no voucher match
Ophiocordyceps clavata	MY12912	TEF	no voucher match
Ophiocordyceps clavata	MY12912	RPB1	no voucher match
Ophiocordyceps cochlidiicola	520621MF432	SSU	no voucher match
Ophiocordyceps cochlidiicola	520621MF432	TEF	no voucher match
Ophiocordyceps cochlidiicola	520621MF432	RPB1	no voucher match
Ophiocordyceps cochlidiicola	520621MF432	RPB2	no voucher match
Ophiocordyceps cochlidiicola	HMAS_199612	ITS	no voucher match
Ophiocordyceps cochlidiicola	HMAS_199612	RPB2	no voucher match
Ophiocordyceps communis	BCC 2754	SSU	no voucher match
Ophiocordyceps communis	BCC 2754	LSU	no voucher match
Ophiocordyceps communis	BCC 2754	TEF	no voucher match
Ophiocordyceps communis	BCC 2754	RPB2	no voucher match
Ophiocordyceps communis	NHJ 12581	ITS	no voucher match
Ophiocordyceps communis	NHJ 12581	RPB1	no voucher match
Ophiocordyceps corriemoreau	C2014A	ITS	no voucher match
Ophiocordyceps corriemoreau	C2014A	SSU	no voucher match
Ophiocordyceps corriemoreau	C2014A	LSU	no voucher match
Ophiocordyceps corriemoreau	C2014A	TEF	no voucher match
Ophiocordyceps corriemoreau	C2014A	RPB1	no voucher match
Ophiocordyceps corriemoreauae	C2014A	ITS	no voucher match
Ophiocordyceps corriemoreauae	C2014A	TEF	no voucher match
Ophiocordyceps corriemoreauae	C2014A	RPB2	no voucher match
Ophiocordyceps crinalis	GDGM 17327	ITS	no voucher match
Ophiocordyceps crinalis	GDGM 17327	RPB2	no voucher match
