Sample	Marker	ID	Reads	AvgReadLength	IntendedLength	CoverageX
203_A	ITS2_350bp_U001_U001	1	177	320.1	350	161.9
203_A	ITS2_350bp_U001_U001	2	124	320.1	350	113.4
203_A	SSU_305bp_U001_U001	1	162	258.9	305	137.5
203_A	SSU_305bp_U001_U001	2	228	258.9	305	193.5
203_A	SSU_305bp_U001_U001	3	219	258.9	305	185.9
203_A	LSU_308bp_U001_U001	1	346	270.1	308	303.4
203_A	LSU_308bp_U001_U001	2	199	270.1	308	174.5
203_A	TEF_268bp_U001_U001	1	892	227.0	268	755.5
203_A	RPB1_320bp_U001_U001	1	122	305.1	320	116.3
