203_A|ITS2_350bp_U001_U001|consensus_cl_id_18_total_supporting_reads_177	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps cf. nutans
203_A|ITS2_350bp_U001_U001|consensus_cl_id_19456_total_supporting_reads_124	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Mariannaea	Mariannaea humicola
203_A|LSU_308bp_U001_U001|consensus_cl_id_2641_total_supporting_reads_346	Eukaryota						uncultured fungus
203_A|LSU_308bp_U001_U001|consensus_cl_id_78418_total_supporting_reads_199	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Mariannaea	Mariannaea humicola
203_A|RPB1_320bp_U001_U001|consensus_cl_id_3_total_supporting_reads_122	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Bradyrhizobium	Bradyrhizobium sp. sBnM-33
203_A|SSU_305bp_U001_U001|consensus_cl_id_3627_total_supporting_reads_162	Eukaryota	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae		uncultured Glomus
203_A|SSU_305bp_U001_U001|consensus_cl_id_37182_total_supporting_reads_228	Eukaryota						uncultured fungus
203_A|SSU_305bp_U001_U001|consensus_cl_id_7_total_supporting_reads_219	Eukaryota	Cercozoa		Cercomonadida	Cercomonadidae	Cercomonas	Cercomonas longicauda
203_A|TEF_268bp_U001_U001|consensus_cl_id_43518_total_supporting_reads_892	Eukaryota	Ascomycota	Sordariomycetes	Sordariales		Madurella	Madurella pseudomycetomatis (nom. inval.)
