Species	Voucher	Gene	Reason
Ophiocordyceps nutans	06Fuka7	TEF	no voucher match
Ophiocordyceps nutans	06Fuka7	RPB1	no voucher match
Ophiocordyceps nutans	06Fuka7	RPB2	no voucher match
Ophiocordyceps nutans	06Fuka6	SSU	no voucher match
Ophiocordyceps nutans	06Fuka6	LSU	no voucher match
Ophiocordyceps nutans	06Fuka6	TEF	no voucher match
Ophiocordyceps nutans	06Fuka6	RPB1	no voucher match
Ophiocordyceps nutans	06Fuka6	RPB2	no voucher match
Ophiocordyceps nutans	06Fuka5	SSU	no voucher match
Ophiocordyceps nutans	06Fuka5	LSU	no voucher match
Ophiocordyceps nutans	06Fuka5	TEF	no voucher match
Ophiocordyceps nutans	06Fuka5	RPB1	no voucher match
Ophiocordyceps nutans	06Fuka5	RPB2	no voucher match
Ophiocordyceps nutans	06Fuka4	SSU	no voucher match
Ophiocordyceps nutans	06Fuka4	LSU	no voucher match
Ophiocordyceps nutans	06Fuka4	TEF	no voucher match
Ophiocordyceps nutans	06Fuka4	RPB1	no voucher match
Ophiocordyceps nutans	06Fuka4	RPB2	no voucher match
Ophiocordyceps nutans	06Fuka3	SSU	no voucher match
Ophiocordyceps nutans	06Fuka3	LSU	no voucher match
Ophiocordyceps nutans	06Fuka3	TEF	no voucher match
Ophiocordyceps nutans	06Fuka3	RPB1	no voucher match
Ophiocordyceps nutans	06Fuka3	RPB2	no voucher match
Ophiocordyceps nutans	06Fuka2	SSU	no voucher match
Ophiocordyceps nutans	06Fuka2	LSU	no voucher match
Ophiocordyceps nutans	06Fuka2	TEF	no voucher match
Ophiocordyceps nutans	06Fuka2	RPB1	no voucher match
Ophiocordyceps nutans	06Fuka2	RPB2	no voucher match
Ophiocordyceps nutans	06Fuka1	SSU	no voucher match
Ophiocordyceps nutans	06Fuka1	LSU	no voucher match
Ophiocordyceps nutans	06Fuka1	TEF	no voucher match
Ophiocordyceps nutans	06Fuka1	RPB1	no voucher match
Ophiocordyceps nutans	06Fuka1	RPB2	no voucher match
Ophiocordyceps nutans	05Yak4	SSU	no voucher match
Ophiocordyceps nutans	05Yak4	LSU	no voucher match
Ophiocordyceps nutans	05Yak4	TEF	no voucher match
Ophiocordyceps nutans	05Yak4	RPB1	no voucher match
Ophiocordyceps nutans	05Yak4	RPB2	no voucher match
Ophiocordyceps nutans	05Yak3	SSU	no voucher match
Ophiocordyceps nutans	05Yak3	LSU	no voucher match
Ophiocordyceps nutans	05Yak3	TEF	no voucher match
Ophiocordyceps nutans	05Yak3	RPB1	no voucher match
Ophiocordyceps nutans	05Yak3	RPB2	no voucher match
Ophiocordyceps nutans	05Yak2	SSU	no voucher match
Ophiocordyceps nutans	05Yak2	LSU	no voucher match
Ophiocordyceps nutans	05Yak2	TEF	no voucher match
Ophiocordyceps nutans	05Yak2	RPB1	no voucher match
Ophiocordyceps nutans	05Yak2	RPB2	no voucher match
Ophiocordyceps nutans	05Yak1	SSU	no voucher match
Ophiocordyceps nutans	05Yak1	LSU	no voucher match
Ophiocordyceps nutans	05Yak1	TEF	no voucher match
Ophiocordyceps nutans	05Yak1	RPB1	no voucher match
Ophiocordyceps nutans	05Yak1	RPB2	no voucher match
Ophiocordyceps nutans	04Yak3	SSU	no voucher match
Ophiocordyceps nutans	04Yak3	LSU	no voucher match
Ophiocordyceps nutans	04Yak3	TEF	no voucher match
Ophiocordyceps nutans	04Yak3	RPB1	no voucher match
Ophiocordyceps nutans	04Yak3	RPB2	no voucher match
Ophiocordyceps nutans	04Yak2	SSU	no voucher match
Ophiocordyceps nutans	04Yak2	LSU	no voucher match
Ophiocordyceps nutans	04Yak2	TEF	no voucher match
Ophiocordyceps nutans	04Yak2	RPB1	no voucher match
Ophiocordyceps nutans	04Yak2	RPB2	no voucher match
Ophiocordyceps nutans	04Yak1	SSU	no voucher match
Ophiocordyceps nutans	04Yak1	LSU	no voucher match
Ophiocordyceps nutans	04Yak1	TEF	no voucher match
Ophiocordyceps nutans	04Yak1	RPB1	no voucher match
Ophiocordyceps nutans	04Yak1	RPB2	no voucher match
Ophiocordyceps nutans	03Y4	SSU	no voucher match
Ophiocordyceps nutans	03Y4	LSU	no voucher match
Ophiocordyceps nutans	03Y4	TEF	no voucher match
Ophiocordyceps nutans	03Y4	RPB1	no voucher match
Ophiocordyceps nutans	03Y4	RPB2	no voucher match
Ophiocordyceps nutans	03Y3	SSU	no voucher match
Ophiocordyceps nutans	03Y3	LSU	no voucher match
Ophiocordyceps nutans	03Y3	TEF	no voucher match
Ophiocordyceps nutans	03Y3	RPB1	no voucher match
Ophiocordyceps nutans	03Y3	RPB2	no voucher match
Ophiocordyceps nutans	03Y2	SSU	no voucher match
Ophiocordyceps nutans	03Y2	LSU	no voucher match
Ophiocordyceps nutans	03Y2	TEF	no voucher match
Ophiocordyceps nutans	03Y2	RPB1	no voucher match
Ophiocordyceps nutans	03Y2	RPB2	no voucher match
Ophiocordyceps nutans	03Y1	SSU	no voucher match
Ophiocordyceps nutans	03Y1	LSU	no voucher match
Ophiocordyceps nutans	03Y1	TEF	no voucher match
Ophiocordyceps nutans	03Y1	RPB1	no voucher match
Ophiocordyceps nutans	03Y1	RPB2	no voucher match
Ophiocordyceps nutans	NBRC 100944	ITS	no voucher match
Ophiocordyceps nutans	104-50	SSU	no voucher match
Ophiocordyceps nutans	104-50	TEF	no voucher match
Ophiocordyceps nutans	104-50	RPB1	no voucher match
Ophiocordyceps nutans	104-50	RPB2	no voucher match
Ophiocordyceps nutans	KACC500169	TEF	no voucher match
Ophiocordyceps nutans	KACC500169	RPB1	no voucher match
Ophiocordyceps nutans	KACC500169	RPB2	no voucher match
Ophiocordyceps nutans	20876	SSU	no voucher match
Ophiocordyceps nutans	20876	LSU	no voucher match
Ophiocordyceps nutans	20876	TEF	no voucher match
Ophiocordyceps nutans	20876	RPB1	no voucher match
Ophiocordyceps nutans	20876	RPB2	no voucher match
Ophiocordyceps nutans	l	SSU	no voucher match
Ophiocordyceps nutans	l	LSU	no voucher match
Ophiocordyceps nutans	l	TEF	no voucher match
Ophiocordyceps nutans	l	RPB1	no voucher match
Ophiocordyceps nutans	l	RPB2	no voucher match
Ophiocordyceps nutans	HB0202	LSU	no voucher match
Ophiocordyceps nutans	HB0202	TEF	no voucher match
Ophiocordyceps nutans	HB0202	RPB1	no voucher match
Ophiocordyceps nutans	HB0202	RPB2	no voucher match
Ophiocordyceps nutans	20886	LSU	no voucher match
Ophiocordyceps nutans	20886	TEF	no voucher match
Ophiocordyceps nutans	20886	RPB1	no voucher match
Ophiocordyceps nutans	20886	RPB2	no voucher match
Ophiocordyceps nutans	HB0201	LSU	no voucher match
Ophiocordyceps nutans	HB0201	TEF	no voucher match
Ophiocordyceps nutans	HB0201	RPB1	no voucher match
Ophiocordyceps nutans	HB0201	RPB2	no voucher match
Ophiocordyceps nutans	T37	SSU	no voucher match
Ophiocordyceps nutans	T37	LSU	no voucher match
Ophiocordyceps nutans	T37	TEF	no voucher match
Ophiocordyceps nutans	T37	RPB1	no voucher match
Ophiocordyceps nutans	T37	RPB2	no voucher match
Ophiocordyceps nutans	T63	SSU	no voucher match
Ophiocordyceps nutans	T63	LSU	no voucher match
Ophiocordyceps nutans	T63	TEF	no voucher match
Ophiocordyceps nutans	T63	RPB1	no voucher match
Ophiocordyceps nutans	T63	RPB2	no voucher match
Ophiocordyceps nutans	T30	SSU	no voucher match
Ophiocordyceps nutans	T30	LSU	no voucher match
Ophiocordyceps nutans	T30	TEF	no voucher match
Ophiocordyceps nutans	T30	RPB1	no voucher match
Ophiocordyceps nutans	T30	RPB2	no voucher match
Ophiocordyceps nutans	T24	SSU	no voucher match
Ophiocordyceps nutans	T24	LSU	no voucher match
Ophiocordyceps nutans	T24	TEF	no voucher match
Ophiocordyceps nutans	T24	RPB1	no voucher match
Ophiocordyceps nutans	T24	RPB2	no voucher match
Ophiocordyceps nutans	T42	SSU	no voucher match
Ophiocordyceps nutans	T42	LSU	no voucher match
Ophiocordyceps nutans	T42	TEF	no voucher match
Ophiocordyceps nutans	T42	RPB1	no voucher match
Ophiocordyceps nutans	T42	RPB2	no voucher match
Ophiocordyceps nutans	T82	SSU	no voucher match
Ophiocordyceps nutans	T82	LSU	no voucher match
Ophiocordyceps nutans	T82	TEF	no voucher match
Ophiocordyceps nutans	T82	RPB1	no voucher match
Ophiocordyceps nutans	T82	RPB2	no voucher match
Ophiocordyceps nutans	T35	SSU	no voucher match
Ophiocordyceps nutans	T35	LSU	no voucher match
Ophiocordyceps nutans	T35	TEF	no voucher match
Ophiocordyceps nutans	T35	RPB1	no voucher match
Ophiocordyceps nutans	T35	RPB2	no voucher match
Ophiocordyceps nutans	T23	SSU	no voucher match
Ophiocordyceps nutans	T23	LSU	no voucher match
Ophiocordyceps nutans	T23	TEF	no voucher match
Ophiocordyceps nutans	T23	RPB1	no voucher match
Ophiocordyceps nutans	T23	RPB2	no voucher match
Ophiocordyceps nutans	T62	SSU	no voucher match
Ophiocordyceps nutans	T62	LSU	no voucher match
Ophiocordyceps nutans	T62	TEF	no voucher match
Ophiocordyceps nutans	T62	RPB1	no voucher match
Ophiocordyceps nutans	T62	RPB2	no voucher match
Ophiocordyceps nutans	T39	SSU	no voucher match
Ophiocordyceps nutans	T39	LSU	no voucher match
Ophiocordyceps nutans	T39	TEF	no voucher match
Ophiocordyceps nutans	T39	RPB1	no voucher match
Ophiocordyceps nutans	T39	RPB2	no voucher match
Ophiocordyceps nutans	T33	SSU	no voucher match
Ophiocordyceps nutans	T33	LSU	no voucher match
Ophiocordyceps nutans	T33	TEF	no voucher match
Ophiocordyceps nutans	T33	RPB1	no voucher match
Ophiocordyceps nutans	T33	RPB2	no voucher match
Ophiocordyceps nutans	T70	SSU	no voucher match
Ophiocordyceps nutans	T70	LSU	no voucher match
Ophiocordyceps nutans	T70	TEF	no voucher match
Ophiocordyceps nutans	T70	RPB1	no voucher match
Ophiocordyceps nutans	T70	RPB2	no voucher match
Ophiocordyceps nutans	T43	SSU	no voucher match
Ophiocordyceps nutans	T43	LSU	no voucher match
Ophiocordyceps nutans	T43	TEF	no voucher match
Ophiocordyceps nutans	T43	RPB1	no voucher match
Ophiocordyceps nutans	T43	RPB2	no voucher match
Ophiocordyceps nutans	T32	SSU	no voucher match
Ophiocordyceps nutans	T32	LSU	no voucher match
Ophiocordyceps nutans	T32	TEF	no voucher match
Ophiocordyceps nutans	T32	RPB1	no voucher match
Ophiocordyceps nutans	T32	RPB2	no voucher match
Ophiocordyceps nutans	T46	SSU	no voucher match
Ophiocordyceps nutans	T46	LSU	no voucher match
Ophiocordyceps nutans	T46	TEF	no voucher match
Ophiocordyceps nutans	T46	RPB1	no voucher match
Ophiocordyceps nutans	T46	RPB2	no voucher match
Ophiocordyceps nutans	T38	SSU	no voucher match
Ophiocordyceps nutans	T38	LSU	no voucher match
Ophiocordyceps nutans	T38	TEF	no voucher match
Ophiocordyceps nutans	T38	RPB1	no voucher match
Ophiocordyceps nutans	T38	RPB2	no voucher match
Ophiocordyceps nutans	T21	SSU	no voucher match
Ophiocordyceps nutans	T21	LSU	no voucher match
Ophiocordyceps nutans	T21	TEF	no voucher match
Ophiocordyceps nutans	T21	RPB1	no voucher match
Ophiocordyceps nutans	T21	RPB2	no voucher match
Ophiocordyceps nutans	T71	SSU	no voucher match
Ophiocordyceps nutans	T71	LSU	no voucher match
Ophiocordyceps nutans	T71	TEF	no voucher match
Ophiocordyceps nutans	T71	RPB1	no voucher match
Ophiocordyceps nutans	T71	RPB2	no voucher match
Ophiocordyceps nutans	T41	SSU	no voucher match
Ophiocordyceps nutans	T41	LSU	no voucher match
Ophiocordyceps nutans	T41	TEF	no voucher match
Ophiocordyceps nutans	T41	RPB1	no voucher match
Ophiocordyceps nutans	T41	RPB2	no voucher match
Ophiocordyceps nutans	UoO-113/78	TEF	no voucher match
Ophiocordyceps nutans	UoO-113/78	RPB1	no voucher match
Ophiocordyceps nutans	UoO-113/78	RPB2	no voucher match
Ophiocordyceps nutans	G97035	TEF	no voucher match
Ophiocordyceps nutans	G97035	RPB1	no voucher match
Ophiocordyceps nutans	G97035	RPB2	no voucher match
Ophiocordyceps nutans	G97033	TEF	no voucher match
Ophiocordyceps nutans	G97033	RPB1	no voucher match
Ophiocordyceps nutans	G97033	RPB2	no voucher match
Ophiocordyceps neonutans	FLOR:57336	SSU	no voucher match
Ophiocordyceps neonutans	FLOR:57336	TEF	no voucher match
Ophiocordyceps neonutans	FLOR:57336	RPB1	no voucher match
Ophiocordyceps neonutans	FLOR:57336	RPB2	no voucher match
Ophiocordyceps neonutans	KEL142	LSU	no voucher match
Ophiocordyceps neonutans	KEL142	TEF	no voucher match
Ophiocordyceps neonutans	KEL142	RPB1	no voucher match
Ophiocordyceps neonutans	KEL142	RPB2	no voucher match
Ophiocordyceps neonutans	KEL138	LSU	no voucher match
Ophiocordyceps neonutans	KEL138	TEF	no voucher match
Ophiocordyceps neonutans	KEL138	RPB1	no voucher match
Ophiocordyceps neonutans	KEL138	RPB2	no voucher match
Ophiocordyceps neonutans	FMF88	TEF	no voucher match
Ophiocordyceps neonutans	FMF88	RPB1	no voucher match
Ophiocordyceps neonutans	FMF88	RPB2	no voucher match
Ophiocordyceps neonutans	KEL114	TEF	no voucher match
Ophiocordyceps neonutans	KEL114	RPB1	no voucher match
Ophiocordyceps neonutans	KEL114	RPB2	no voucher match
Ophiocordyceps neonutans	KEL110	LSU	no voucher match
Ophiocordyceps neonutans	KEL110	TEF	no voucher match
Ophiocordyceps neonutans	KEL110	RPB1	no voucher match
Ophiocordyceps neonutans	KEL110	RPB2	no voucher match
Ophiocordyceps neonutans	KEL113	LSU	no voucher match
Ophiocordyceps neonutans	KEL113	TEF	no voucher match
Ophiocordyceps neonutans	KEL113	RPB1	no voucher match
Ophiocordyceps neonutans	KEL113	RPB2	no voucher match
