Species	Voucher	Found	Accession
Ophiocordyceps nutans	GMBC 3024	YES	PP583069.1
Ophiocordyceps nutans	HB0201	YES	AJ536557.1
Ophiocordyceps nutans	HB0202	YES	AJ536559.1
Ophiocordyceps nutans	HKAS 126065	YES	OQ935378.1
Ophiocordyceps nutans	HKAS 126074	YES	OQ935380.1
Ophiocordyceps nutans	HKAS 126077	YES	OQ935381.1
Ophiocordyceps nutans	HKAS122491	YES	ON794322.1
Ophiocordyceps nutans	HKAS:102461	YES	OQ127359.1
Ophiocordyceps nutans	HMIGD 20876	NO	
Ophiocordyceps nutans	HMJAU63522	YES	OR364598.1
Ophiocordyceps nutans	iNaturalist#84633145	NO	
Ophiocordyceps nutans	iNaturalist#84633564	NO	
Ophiocordyceps nutans	KA12-1340	YES	KR673559.1
Ophiocordyceps nutans	KACC500169	YES	AF224274.1
Ophiocordyceps nutans	l	YES	AJ536560.1
Ophiocordyceps nutans	Liyi2048	YES	MZ568423.1
Ophiocordyceps nutans	MHHNU 30295	YES	MK453047.1
Ophiocordyceps nutans	NBRC 100944	YES	JN993196.1
Ophiocordyceps nutans	NXS92	YES	PP454967.1
Ophiocordyceps nutans	Oph994	NO	
Ophiocordyceps nutans	OSC 110994	NO	
Ophiocordyceps nutans	SICAU 24-0164	NO	
Ophiocordyceps nutans	SICAU 24-0164-1	NO	
Ophiocordyceps nutans	SICAU 24-0165	NO	
Ophiocordyceps nutans	XS58	YES	ON890863.1
Ophiocordyceps nutans	YU0412	YES	PP859048.1
Ophiocordyceps odonatae	TNS F18563	NO	
Ophiocordyceps odontomachi	Odonto1	NO	
Ophiocordyceps oecophyllae	OECO1	NO	
Ophiocordyceps ootakii	J13	NO	
Ophiocordyceps oxycephala	HMIGD 20878	NO	
Ophiocordyceps oxycephala	wyhxz-2	YES	OL150612.1
Ophiocordyceps paltothyrei	Palt1	NO	
Ophiocordyceps paltothyrei	Palt2	NO	
Ophiocordyceps pauciovoperitheciata	BCC53615	NO	
Ophiocordyceps philippinensis	BBC22048	NO	
Ophiocordyceps philippinensis	BCC22048	YES	PV170898.1
Ophiocordyceps poecilometigena	BRIP 61312a	NO	
Ophiocordyceps polyrhachis	P39	NO	
Ophiocordyceps polyrhachis	Po21	NO	
Ophiocordyceps ponerinarum	Ophkni790	NO	
Ophiocordyceps pruinosa	NHJ 12994	NO	
Ophiocordyceps pseudoacicularis	BCC49256	NO	
Ophiocordyceps pseudolloydii	HKAS 126055	YES	OQ935373.1
Ophiocordyceps pseudomyrmicis	P10B1	NO	
Ophiocordyceps pseudonutans	HAKS 131087	NO	
Ophiocordyceps pulvinata	Ophiocordyceps_pulvinata_gene_for_28S_ribosomal_RNA_partial_sequence	NO	
Ophiocordyceps pulvinata	TNS-F-30044	NO	
Ophiocordyceps purpureostromata	TNS F18430	NO	
Ophiocordyceps rami	MY6736	NO	
Ophiocordyceps ravenelii	OSC 110995	NO	
Ophiocordyceps rhizoidea	NHJ 12529	NO	
Ophiocordyceps robertsii	KEW 27083	NO	
Ophiocordyceps robertsii	YHORZT007	YES	KC561978.1
Ophiocordyceps rubiginosiperitheciata	NBRC 100946	YES	AB294423.1
Ophiocordyceps satoi	J19	NO	
Ophiocordyceps satoi	YFCC 8810	NO	
Ophiocordyceps sobolifera	HKAS 126020	NO	
Ophiocordyceps sp	NHJ 12525	NO	
Ophiocordyceps sp	OSC 151909	NO	
Ophiocordyceps sp	SJ22	NO	
Ophiocordyceps sp.	CatKNZ01_OP	YES	LC370817.1
Ophiocordyceps sp.	NHJ 12525	NO	
Ophiocordyceps spataforae	NHJ 12525	NO	
Ophiocordyceps sphecocephala	OSC 110998	NO	
Ophiocordyceps tabani	BBC45127	NO	
Ophiocordyceps tabani	BCC39918	NO	
Ophiocordyceps thanathonensis	HKAS:102442	YES	OQ127361.1
Ophiocordyceps thanathonensis	MFLU 16-2909	YES	MF850376.1
Ophiocordyceps thanathonensis	MFLU 16-2910	YES	MF850375.1
Ophiocordyceps thanathonensis	MFLUCC:16-2909	NO	
Ophiocordyceps thanathonensis	MFLUCC:16-2910	NO	
Ophiocordyceps thilosuensis	BBC47494	NO	
Ophiocordyceps thilosuensis	BCC47494	YES	PV170902.1
Ophiocordyceps tiputini	Ophsp.11465	NO	
Ophiocordyceps tiputini	Ophtip11465	NO	
Ophiocordyceps tricentri	CEM160	NO	
Ophiocordyceps tricentri	KUMCC 5198	NO	
Ophiocordyceps unilateralis	OSC 128574	NO	
Ophiocordyceps variabilis	ARSEF 5365	NO	
Ophiocordyceps vespulae	GZUCC2017064	NO	
Ophiocordyceps vespulae	HKAS:102449	YES	OQ127362.1
Ophiocordyceps xuefengensis	YFCC 16049246	YES	OQ608721.1
Ophiocordyceps yakusimensis	HMAS_199604	NO	
Tolypocladium capitatum	ARSEF 1446	NO	
Tolypocladium capitatum	OSC71233	NO	
Tolypocladium capitatum	YFCC 881	YES	OP207721.1
Tolypocladium inflatum	CBS 127147	YES	MH864439.1
Tolypocladium inflatum	KUMCC 7769	YES	OQ740186.1
Tolypocladium inflatum	MTCC 557	YES	JQ266196.1
Tolypocladium inflatum	OSC 71235	YES	JN049844.1
Tolypocladium ophioglossoides	CBS 100239	YES	KU382155.1
Tolypocladium ophioglossoides	iNAT:178438965	YES	PZ017987.1
Tolypocladium ophioglossoides	NBRC:106330	YES	JN993208.1
