Species,Voucher,SSU,LSU,TEF,RPB1,RPB2,ITS,Host
Ophiocordyceps cylindrospora,MFLU:17-1961,MG553651,MG553652,,,MG647029,NR_164488,Hymenoptera
Ophiocordyceps daceti,MF01,,KX713604,KX713667,,,,
Ophiocordyceps daceti,MF90,KX713645,,,,,,
Ophiocordyceps diabolica,BDS32,MK393830,MK393322,MK491907,,,,
Ophiocordyceps dipterigena,MRCIF71,,,,,,EU573346,
Ophiocordyceps dipterigena,Ophdip899,,,,,KC610715,,
Ophiocordyceps dipterigena,OSC 151911,KJ878919,KJ878886,KJ878966,KJ879000,,,
Ophiocordyceps dipterigena,OSC 151912,KJ878920,KJ878887,KJ878967,KJ879001,,,
Ophiocordyceps ditmarii,WU42993,MT878364,MT937097,,,,MT878364,Vespula vulgaris
Ophiocordyceps elongata,OSC 110989,,EF468808,EF468748,EF468856,,,
Ophiocordyceps entomorrhiza,KEW 53484,EF468954,EF468809,EF468749,EF468857,EF468911,JN049850,
Ophiocordyceps evansii,Ophsp.858,KC610796,KC610770,KC610736,KP212916,,,
Ophiocordyceps evansii,Ophsp.912,,,,,,KP200890,Pachycondyla impressa
Ophiocordyceps floriformis,BBH51295,PV170895,PV257643,PV274276,,PV274287,NR_201007,Dipterigena
Ophiocordyceps formicarum,1,,,,,,KY649457,
Ophiocordyceps formicarum,TNS F18565,KJ878921,KJ878888,KJ878968,KJ879002,KJ878946,,
Ophiocordyceps formosana,HS0825-01,,EF689044,,,,EF689044,
Ophiocordyceps formosana,TNM F13893,KJ878908,,KJ878956,KJ878988,KJ878943,,
Ophiocordyceps forquignonii,OSC 151902,KJ878912,KJ878876,,KJ878991,KJ878945,,
Ophiocordyceps fulgoromorphila,Ophara717,,KC610760,KC610729,KF658676,KC610719,,
Ophiocordyceps fulgoromorphila,Ophsp.717,KC610794,,,,,,
Ophiocordyceps geometridicola,BCC35947,,MF614647,MF614631,MF614664,MF614678,,
Ophiocordyceps globiceps,MFLUCC 18-0495,MH725811,MH725829,MH727387,,,MH725815,Diptera
Ophiocordyceps gracilis,EFCC 3101,EF468955,EF468810,EF468750,EF468858,EF468913,,
Ophiocordyceps gracilis,EFCC 8572,,,,,,JN049851,
Ophiocordyceps gracillisima,Ophgrc679,,KC610768,KC610744,KF658666,,,
Ophiocordyceps granospora,BCC82255,,MH028156,MH028183,MH028168,MH028177,,
Ophiocordyceps granospora,OSC 128579,EF469123,EF469076,EF469060,EF469089,,,
Ophiocordyceps halabalaensis,MY1308,KM655825,,GU797109,,,,
Ophiocordyceps halabalaensis,MY5151,,GU723763,,,,GU723763,
Ophiocordyceps heteropoda,EFCC 10125,EF468957,EF468812,EF468752,EF468860,EF468914,JN049852,
Ophiocordyceps humbertii,MF116A,MK874747,MK875537,,,,,
Ophiocordyceps humbertii,MF116B,,,,MK863829,,,
Ophiocordyceps irangiensis,OSC 128578,DQ522556,DQ518770,DQ522345,DQ522391,DQ522445,JN049833,
Ophiocordyceps khaoyaiensis,BCC82796,,MH028153,MH028187,MH028165,MH028175,,
Ophiocordyceps kimflemingiae,SC30,KX713629,KX713622,KX713699,KX713727,,,
Ophiocordyceps kniphofioides,HUA TSF 790,,,MF416513,,,,
Ophiocordyceps kniphofioides,MF90,MK874746,MK875538,,MK863827,,,
Ophiocordyceps kniphofioides,Ophkni727,,,,,KC610717,,Cephalotes atratus
Ophiocordyceps kniphofioides,PCFB,,,,,,KY053450,
Ophiocordyceps konnoana,EFCC 7315,EF468959,,EF468753,EF468861,EF468916,,
Ophiocordyceps konnoana,OTU0780,,,,,,MT925106,
Ophiocordyceps lanpingensis,CS96,OK012563,,,,,,
Ophiocordyceps lanpingensis,KUMCC 5190,,,,,,OQ935395,
Ophiocordyceps lanpingensis,YHOS0705,,KC417460,KC417462,KC417464,KC456333,,
Ophiocordyceps laosensis,GMB 3137,PX225002,PX225011,PX225642,PX225644,PX245461,,
Ophiocordyceps laosensis,GMB 3138,,,,,,PX219631,
Ophiocordyceps laotii,BCC 76495,,ON764219,ON759347,ON759354,,NR_191197,Dolichoderus laotius
Ophiocordyceps laotii,BCC 76497,ON763787,,,,,,Dolichoderus laotius
Ophiocordyceps lloydii,OSC 151913,KJ878924,KJ878891,KJ878970,KJ879004,KJ878948,,
Ophiocordyceps lloydii,Pan-OY01,,,,,,PP711273,Camponotus atriceps
Ophiocordyceps longissima,Cod-SN1402,,,,,,MG031300,Cicada
Ophiocordyceps longissima,NBRC:106965,,,,,AB968546,,
Ophiocordyceps longissima,TNS F18448,KJ878925,KJ878892,KJ878971,KJ879005,,,
Ophiocordyceps macroacicularis,BCC22918,,,,MF614669,,,
Ophiocordyceps macroacicularis,NBRC:100685,NG_064859,,,,,NR_147511,
Ophiocordyceps macroacicularis,NBRC:105888,,AB968417,AB968575,,AB968537,,
Ophiocordyceps megacuculla,BCC82258,,MH028159,MH028190,MH028171,MH028179,,
Ophiocordyceps melolonthae,iNAT:13875275,,,,,,OK586482,
Ophiocordyceps melolonthae,OSC 110993,DQ522548,DQ518762,DQ522331,DQ522376,,,
Ophiocordyceps mizoramensis,OCCMZ001,MN472918,MN472919,MT897152,,,,
Ophiocordyceps monacidis,MF74,KX713647,KX713605,,KX713712,,,
Ophiocordyceps multiperitheciata,BCC22861,,MF614656,MF614640,MF614670,MF614683,,
Ophiocordyceps muscae,BBC73607,,PV257645,,,,,
Ophiocordyceps muscae,BCC73607,,,PV274277,,PV274289,,
Ophiocordyceps muscae,BCC73616,,,,,,NR_201008,Dipterigena
Ophiocordyceps muscae,GMB 3136,PX225001,,,,,,
Ophiocordyceps muscidarum,HKAS 132178,PQ424972,PQ423695,PQ675604,,PQ569900,NR_200908,
Ophiocordyceps myrmecophila,BCC82985,,,,,MH028182,,
Ophiocordyceps myrmecophila,HMAS_199620,KJ878927,KJ878893,KJ878973,KJ879007,,,
Ophiocordyceps myrmecophila,Liyi4389,,,,,,PQ334984,
Ophiocordyceps naomipierceae,DAWKSANT,KX713664,KX713589,,KX713701,,,
Ophiocordyceps neonutans,FMF88,KX197242,KX197242,,,,,
Ophiocordyceps neonutans,KEL110,KX197240,,,,,,
Ophiocordyceps neonutans,KEL113,KX197239,,,,,,
Ophiocordyceps neonutans,KEL114,KX197241,KX197241,,,,,
Ophiocordyceps neonutans,KEL138,KX197243,KX197243,,,,,
Ophiocordyceps neonutans,KEL142,KX197244,,,,,,
Ophiocordyceps neovolkiana,NFCCI:4331,,,,,,MH668282,Leucopholis coneophora
Ophiocordyceps neovolkiana,OSC 151903,KJ878930,KJ878896,KJ878976,KJ879010,,,
Ophiocordyceps nigrella,EFCC 9247,EF468963,EF468818,EF468758,EF468866,EF468920,JN049853,
Ophiocordyceps nutans,104-50,,AB509505,,,,,
Ophiocordyceps nutans,11BidoupNLU,,MT235757,,,,,Halyomorpha halys (Sta'l)
Ophiocordyceps nutans,12BidoupNLU,,MT235758,,,,,Acanthosoma labiduroides
Ophiocordyceps nutans,15BidoupNLU,,MT235761,,,,,Proxys punctulatus
Ophiocordyceps nutans,20886,AJ536558,,,,,,
Ophiocordyceps nutans,420526MF0525,,MH668078,,,,,
Ophiocordyceps nutans,420526MF0895,,MH668079,,,,,
Ophiocordyceps nutans,CPA50,ON890862,ON890862,,,,,
Ophiocordyceps nutans,FI935,,PP803457,,,,,
Ophiocordyceps nutans,FI942,,PP809777,,,,,
Ophiocordyceps nutans,G97033,AJ309366,AJ309366,,,,,
Ophiocordyceps nutans,G97035,AJ309367,AJ309367,,,,,
Ophiocordyceps nutans,GMBC 3024,PQ871517,PP583069,,,PP681114,,
Ophiocordyceps nutans,HB0201,AJ536557,,,,,,
Ophiocordyceps nutans,HB0202,AJ536559,,,,,,
Ophiocordyceps nutans,HKAS 126065,,OQ935378,,,,,
Ophiocordyceps nutans,HKAS 126074,PV467429,OQ935380,,,,,
Ophiocordyceps nutans,HKAS 126077,PV467430,OQ935381,,,,,
Ophiocordyceps nutans,HKAS122491,,ON794322,,,,,
Ophiocordyceps nutans,HKAS:102461,OQ127322,OQ127393,,,,,
Ophiocordyceps nutans,HMIGD 20876,,,,,EF495090,,
Ophiocordyceps nutans,HMJAU63522,OR364598,OR364598,,,,,
Ophiocordyceps nutans,iNaturalist#84633145,PV062200,PV062190,,,,,
Ophiocordyceps nutans,iNaturalist#84633564,PV062202,PV062192,,,,,
Ophiocordyceps nutans,KA12-1340,KR673559,,,,,,
Ophiocordyceps nutans,KACC500169,AF224274,AF224274,,,,,
Ophiocordyceps nutans,l,AJ536560,,,,,,
Ophiocordyceps nutans,Liyi2048,MZ568423,MZ568423,,,,,
Ophiocordyceps nutans,MHHNU 30295,,MK453047,,,,,
Ophiocordyceps nutans,NBRC 100944,JN941713,JN941428,AB968588,JN992447,AB968549,,
Ophiocordyceps nutans,NBRC:101749,AB968408,AB968408,AB968589,,AB968550,AB968408,
Ophiocordyceps nutans,NXS92,,PP454967,,,,,
Ophiocordyceps nutans,Oph994,,KJ917567,,,,,
Ophiocordyceps nutans,OSC 110994,DQ522549,DQ518763,DQ522333,DQ522378,,,
Ophiocordyceps nutans,SICAU 24-0164,,,,PV255784,PV255955,,
Ophiocordyceps nutans,SICAU 24-0164-1,PV094483,PV094337,PV268666,PV255785,PV255929,,
Ophiocordyceps nutans,SICAU 24-0165,,PV094338,PV268667,PV255786,PV255956,,
Ophiocordyceps nutans,XS58,ON890863,ON890863,,,,,
Ophiocordyceps nutans,YU0412,PP859048,PP859048,,,,,
Ophiocordyceps odonatae,Liyi4844,PQ334985,,,,,PQ334985,
Ophiocordyceps odonatae,TNS F18563,,KJ878877,,KJ878992,,,
Ophiocordyceps odontomachi,Odonto1,,MK393342,,MK491939,,,
Ophiocordyceps oecophyllae,BRIP 62635a,,OR707917,OR723732,,,OR707916,Oecophylla smaragdina
Ophiocordyceps oecophyllae,OECO1,KX713635,,,,,,
Ophiocordyceps ootakii,J13,KX713652,KX713600,KX713681,KX713708,,,
