Species,Voucher,SSU,LSU,TEF,RPB1,RPB2,Host
Ophiocordyceps kniphofioides,MF90,MK874746,MK875538,,MK863827,,Hymenoptera (Cephalotes atratus)
Ophiocordyceps konnoana,EFCC 7315,EF468959,,EF468753,EF468861,EF468916,Coleoptera
Ophiocordyceps lanpingensis,YHOL 0705,,KC417460,KC417462,KC417464,KC456333,Lepidoptera
Ophiocordyceps lloydii,OSC 151913,KJ878924,KJ878891,KJ878970,KJ879004,,Hymenoptera (Camponotus atriceps)
Ophiocordyceps longissima,TNS F18448,KJ878925,KJ878892,KJ878971,KJ879005,,Hemiptera
Ophiocordyceps macroacicularis,NBRC 105888,,AB968417,AB968575,,AB968537,Lepidoptera
Ophiocordyceps megacuculla,OSC 128578,DQ522556,DQ518770,DQ522345,DQ522391,,Hymenoptera (Polyrhachis sp.)
Ophiocordyceps melolonthae,OSC 110993,DQ522548,DQ518762,DQ522331,DQ522376,,Coleoptera
Ophiocordyceps monacidis,MF74,KX713647,KX713605,,KX713712,,Hymenoptera (Dolichoderus bispinosus)
Ophiocordyceps multiperitheciata,BCC 22861,,MF614656,MF614640,MF614670,MF614683,Lepidoptera
Ophiocordyceps naomipierceae,DAWKSANT,KX713664,KX713589,,KX713701,,Hymenoptera (Polyrhachis sp.)
Ophiocordyceps neovolkiana,OSC 151903,KJ878930,KJ878896,KJ878976,KJ879010,,Coleoptera
Ophiocordyceps nigrella,EFCC 9247,EF468963,EF468818,EF468758,EF468866,EF468920,Coleoptera
Ophiocordyceps nutans,OSC 110994,DQ522549,DQ518763,DQ522333,DQ522378,,Hemiptera
Ophiocordyceps odonatae,TNS F18563,,KJ878877,,KJ878992,,Odonata
Ophiocordyceps odontomachi,Odonto1,,MK393342,,MK491939,,Hymenoptera (Odontomachus hastatus)
Ophiocordyceps oecophyllae,OECO1,KX713635,,,,,Hymenoptera (Oecophylla smaragdina)
Ophiocordyceps ootakii,J13,KX713652,KX713600,KX713681,KX713708,,Hymenoptera (Polyrhachis moesta)
Ophiocordyceps paltothyrei,Palt2,MK393849,MK393346,,MK491943,,Hymenoptera (Paltothyreus tarsatus)
Ophiocordyceps pauciovoperitheciata,TBRC 8096,,MF614649,MF614636,MF614665,MF614672,Lepidoptera
Ophiocordyceps polyrhachis-furcata,P39,KJ201504,,JN819003,,,Hymenoptera (Polyrhachis furcata)
Ophiocordyceps ponerinarum,HUA 186140,KC610789,KC610767,KC610740,KF658668,,Hymenoptera (Paraponera clavata)
Ophiocordyceps pruinosa,NHJ 12994,EU369106,EU369041,EU369024,EU369063,EU369084,Lepidoptera
Ophiocordyceps pseudoacicularis,TBRC 8101,,MF614645,MF614629,MF614662,MF614676,Lepidoptera
Ophiocordyceps pseudolloydii,Pseu1,,MK393349,,,,Hymenoptera (Dolichoderus sp.)
Ophiocordyceps pseudomyrmexi,P10B1,MK393847,MK393344,,,,Hymenoptera (Pseudomyrmex termitarius)
Ophiocordyceps pulvinata,TNS-F 30044,GU904208,,GU904209,GU904210,,Hymenoptera (Camponotus obscuripes)
Ophiocordyceps purpureostromata,TNS F18430,KJ878931,KJ878897,KJ878977,KJ879011,,Coleoptera
Ophiocordyceps rami,MY6736,KM655823,,KJ201532,,,Hymenoptera (Camponotus sp.)
Ophiocordyceps ramosissimum,GZUHHN8,,,KJ028014,KJ028017,,Lepidoptera
Ophiocordyceps ravenelii,OSC 110995,DQ522550,DQ518764,DQ522334,DQ522379,DQ522430,Coleoptera
Ophiocordyceps rhizoidea,NHJ 12529,EF468969,EF468824,EF468765,EF468872,EF468922,Coleoptera
Ophiocordyceps robertsii,KEW 27083,,EF468826,EF468766,,,Lepidoptera
Ophiocordyceps rubiginosiperitheciata,NBRC 100946,,JN941436,AB968581,,AB968543,Coleoptera
Ophiocordyceps satoi,J19,KX713650,KX713601,KX713684,KX713710,,Hymenoptera (Polyrhachis lamellidens)
Ophiocordyceps sinensis,EFCC 7287,EF468971,EF468827,EF468767,EF468874,EF468924,Lepidoptera
Ophiocordyceps sobolifera,KEW 78842,EF468972,EF468828,,EF468875,EF468925,Hemiptera
Ophiocordyceps sp.,OSC 151909,KJ878934,KJ878899,KJ878980,KJ879014,,Hemiptera
Ophiocordyceps sp. (cicada symbiont),CatKNZ01_OP,LC370844,LC370818,LC370821,LC370819,LC370820,Hemiptera
Ophiocordyceps spataforae,NHJ 12525,,EF469078,EF469063,EF469092,EF469111,Hemiptera
Ophiocordyceps sphecocephala,OSC 110998,DQ522551,DQ518765,DQ522336,DQ522381,,Hymenoptera (Vespidae)
Ophiocordyceps stylophora,OSC 111000,DQ522552,DQ518766,DQ522337,DQ522382,DQ522433,Coleoptera
Ophiocordyceps thanathonensis,MFU16-2909,,MF850377,MF872613,MF872615,,Hymenoptera
Ophiocordyceps tiputini,QCNE 186287,KC610792,KC610773,KC610745,KF658671,,Megaloptera
Ophiocordyceps tricentri,CEM 160,AB027330,AB027376,,,,Hemiptera
Ophiocordyceps unilateralis s.s.,OSC 128574,DQ522554,DQ518768,DQ522339,DQ522385,DQ522436,Hymenoptera (Camponotus sericeiventris)
Ophiocordyceps variabilis,ARSEF 5365,DQ522555,DQ518769,DQ522340,DQ522386,DQ522437,Diptera
Ophiocordyceps xuefengensis,GZUHHN13,,,KC631790,KC631795,,Lepidoptera
Ophiocordyceps yakusimensis,HMAS_199604,KJ878938,KJ878902,,KJ879018,KJ878953,Hemiptera
